Laplacian Mean,Laplacian Standard Deviation,Canny Mean,Canny Standard Deviation,Hue Mean,Blue Mean,Green Mean,Red Mean,Shannons Entropy,Class
71.79481516,114.6778765,1.954098445,22.23682987,46.57930526,40.04046099,38.88015824,18.59665843,3.892298374,0
57.25572547,106.4033117,0.983395119,15.80502102,40.76496585,36.12017815,32.92491333,16.15861566,3.824329413,0
68.06520097,112.79808,2.078828133,22.92988547,46.11418666,39.75655786,38.58663543,18.69301479,3.83822356,0
68.59624996,113.0763795,2.011430337,22.55812235,46.29609549,39.85420657,38.51606426,18.5077764,3.835572758,0
70.16110425,113.8755613,2.239444959,23.79166558,46.77550372,38.37493392,37.09984725,17.91608142,3.85101116,0
70.42690248,114.0062919,2.183426012,23.49481398,47.05930388,38.64211375,37.21054303,18.02634298,3.868859935,0
69.87290186,113.7296811,2.168108331,23.41296501,46.51329249,38.1742663,36.79973741,17.78655477,3.822148536,0
69.68956681,113.6367473,2.116028215,23.13243652,46.69141008,38.51903168,37.01926166,18.11356537,3.834603366,0
69.37581952,113.4774103,2.165482443,23.39890401,46.80224144,38.56509285,36.99897024,17.92536299,3.854027217,0
69.46363574,113.5227273,2.094583462,23.01589674,46.92835959,38.67501116,37.08293344,17.99303882,3.877286721,0
70.08875845,113.8394468,2.058258676,22.81708863,47.08201696,38.81023582,36.99799025,17.78862287,3.893358045,0
69.59722823,113.588525,1.831556997,21.53351883,46.9447774,38.70769574,36.78760684,17.39792675,3.889146354,0
57.07371881,106.2814008,0.941380908,15.46499058,40.40899324,36.40182782,33.22233893,16.25473518,3.8011166,0
69.51481653,113.5483083,1.915147771,22.0157873,46.93346549,38.47038582,36.44785638,17.11655339,3.898640247,0
69.27429719,113.4230844,2.031999794,22.67225009,47.08826074,38.6798905,36.45450005,16.86368036,3.906824039,0
68.40628497,112.974435,2.058258676,22.81708863,46.98046374,38.50986167,36.16303333,16.5208904,3.909355095,0
68.52993684,113.039281,2.079703429,22.93467262,47.28101466,38.96601792,36.37385782,16.48049634,3.928200645,0
68.66820444,113.1125907,2.086705798,22.97293271,47.25025229,38.95292623,36.30457042,16.27092987,3.936092783,0
68.52434696,113.036792,1.955411389,22.24424129,47.18886486,38.89391412,36.16038341,16.06284626,3.939628126,0
68.18412796,112.8581293,2.000926784,22.49961382,47.12346308,38.64126077,35.85706072,15.70749665,3.946742698,0
67.05953901,112.2616213,1.885387705,21.84534682,46.46334054,38.24479113,35.8194024,15.68722754,3.935306848,0
66.55147599,111.9870403,1.944470188,22.18240144,46.3256599,38.0767463,35.58620465,15.47708097,3.935944229,0
66.93174922,112.1916456,1.874446504,21.78233938,46.24946796,38.31100127,35.88668692,15.63295404,3.951138647,0
56.29348505,105.7580165,0.994773968,15.8958418,39.73347063,36.3607095,33.51694127,16.34209488,3.752426395,0
67.11033021,112.2865378,1.965477294,22.30097776,45.8807555,38.84829918,36.90708647,16.06064257,3.966265792,0
67.20859506,112.3410787,1.871382968,21.76466362,45.98179556,39.16388631,37.09104452,16.02548313,3.97319091,0
65.09063605,111.1798618,1.990423231,22.44094783,44.73849243,38.24490955,36.44345073,15.6621014,3.881541664,0
64.6470669,110.9289509,1.887575945,21.85792586,44.71019291,38.56617925,36.63738372,15.68399924,3.872300996,0
66.18323036,111.7833875,1.982545567,22.39684426,45.23105585,39.04582432,37.30725294,15.97008375,3.89487353,0
67.38022003,112.4314668,2.073576357,22.90114085,45.80751553,39.85581471,38.15599492,16.47561871,3.919239592,0
