Laplacian Mean,Laplacian Standard Deviation,Canny Mean,Canny Standard Deviation,Hue Mean,Blue Mean,Green Mean,Red Mean,Shannons Entropy,Class
92.75796689,122.670915,35.00195354,87.75170312,39.93868592,61.90501453,67.73548018,60.988272,5.393585162,0
93.72813014,122.9416009,35.51771684,88.29218303,40.27954251,62.94168698,68.61529624,62.05512602,5.444318197,0
93.35727501,122.8389914,35.71217487,88.49432274,39.8053343,62.63690156,68.34938648,61.93062014,5.437047511,0
92.39879436,122.5670246,35.90909596,88.6981189,39.55522382,63.01784603,68.40894214,62.25353122,5.416073763,0
90.81759837,122.1034993,36.19505641,88.99245629,39.19741418,62.30210987,67.66052513,61.44680602,5.337351642,0
74.46141917,115.938553,32.91771809,85.5011225,32.60936607,64.23651104,68.91258625,62.99398146,4.671110126,0
90.23032733,121.9266654,36.7311399,89.53917598,39.52863975,63.27070594,68.36765847,62.18543119,5.335553545,0
89.79603603,121.7934227,36.45096762,89.25426434,39.29232914,63.56625782,68.60596899,62.49976987,5.326027647,0
90.70561349,122.0697764,37.67042516,90.48147591,40.46847703,65.90706225,70.61420718,64.5812863,5.411090266,0
89.92325562,121.8322549,39.3640204,92.13196568,40.40339882,66.5834224,71.21683608,65.30193552,5.408174158,0
90.29681962,121.9448264,40.63581781,93.33200873,41.47894307,68.87449296,73.0374727,67.30893494,5.447065907,0
89.14416587,121.5885705,40.46352726,93.17136047,40.81724098,67.20798358,71.43256668,65.91589833,5.367410547,0
90.26267591,121.9350561,40.63778826,93.33384258,41.84883519,68.68127418,72.61999922,67.31518289,5.427855906,0
90.0673814,121.8756012,40.18902,92.91416884,40.69506245,67.25399968,71.56437334,66.28586821,5.394272261,0
91.78578345,122.3899184,40.37362582,93.08729732,41.04989662,68.29096721,72.7029505,67.45492492,5.474707364,0
90.74294903,122.0822517,40.18310867,92.90861364,40.52210349,67.40906626,71.91159861,66.54069374,5.430546915,0
75.26213162,116.3022392,32.49247199,85.02834599,32.83993295,64.63631912,69.28141878,63.36244549,4.715961022,0
91.17284402,122.2110497,40.9768275,93.64822807,41.80719849,69.15363559,73.37793037,67.93817592,5.526045759,0
91.77929934,122.3900115,40.51463561,93.21907735,41.62630995,68.37603092,72.85822184,67.31268458,5.527081541,0
91.84654117,122.4090767,39.84764085,92.59219155,42.13939335,68.61752216,72.87318899,67.35701325,5.530343551,0
91.59253618,122.3354431,40.72448772,93.41445535,41.89206226,68.12290634,72.59432117,67.02804451,5.525303359,0
91.40576818,122.2794974,41.19603922,93.85028691,42.09239202,68.40635159,72.83996869,67.24899486,5.538910278,0
91.83021886,122.404515,41.06094076,93.72587176,41.72462005,68.00918864,72.58060148,66.94087852,5.531339508,0
91.47784677,122.3012526,40.63323161,93.32960168,41.55151765,68.10526992,72.66778341,66.99293683,5.532901963,0
91.85013288,122.4105134,39.02054766,91.80215963,40.81813686,67.17366021,71.92356326,66.15872493,5.513314016,0
92.82177976,122.6870144,38.87030142,91.65711391,40.88421429,67.74495569,72.5213694,66.71498275,5.563440258,0
92.04527526,122.4671031,38.65022764,91.44379668,40.39151483,66.17420498,71.07110882,65.25453286,5.51544586,0
74.84912931,116.1166647,31.4310193,83.82720888,32.19124447,63.00040133,67.82825035,61.73013198,4.666610162,0
92.53936949,122.608488,38.92436544,91.70936136,41.49313702,67.01314401,71.76799248,65.91793928,5.560274347,0
92.92612145,122.7177374,39.27522734,92.04694177,41.42592078,66.89220473,71.93090653,65.93030526,5.572836938,0
93.84651026,122.9732022,39.72103993,92.47218051,42.02488891,68.06025497,72.97165123,66.97543129,5.631186645,0
94.7015707,123.203587,40.01759151,92.75278004,41.43091982,68.21290485,73.38211225,67.27093535,5.657539697,0
95.403422,123.3897367,40.49677847,93.20241115,41.95426352,69.02673475,74.02437795,67.90049169,5.697779081,0
95.57453078,123.4339622,40.06783779,92.80014554,42.59625539,68.93993145,74.10703752,67.82079164,5.70641786,0
94.04828936,123.0264169,39.27929137,92.05083688,43.00139476,68.26127245,73.05209888,66.77087232,5.624130995,0
96.42642257,123.6497199,40.3913598,93.10389252,43.91774224,70.01593933,75.05696655,68.69878745,5.746780094,0
93.65004315,122.9185488,39.52288732,92.28368027,44.41477764,68.95533133,73.62417192,67.31149845,5.650824383,0
93.78028553,122.9553949,40.93631028,93.61077727,44.43223634,69.68637946,74.34420634,68.17908617,5.666427928,0
75.44636412,116.383421,31.75478762,84.19681886,32.69280079,63.19601024,67.97796775,61.83318756,4.684701971,0
91.95379264,122.438404,39.6753503,92.42878829,45.18865247,68.9802183,73.17763393,67.35346404,5.569432327,0
92.04005166,122.4645291,39.31463619,92.08469802,43.86471029,68.17333808,72.80981512,67.08111703,5.552213406,0
86.76502474,120.8127395,36.88791322,89.69782455,42.45239377,64.02427604,68.23252428,62.66702228,5.270182936,0
90.17255135,121.9079101,37.93988315,90.74819817,42.48370207,66.24302896,70.92775962,65.37862727,5.422695962,0
87.04544429,120.9047836,37.28150909,90.0936951,42.06522454,64.56119697,68.80732309,63.2359344,5.276188887,0
86.38734068,120.6834681,36.71513005,89.52294336,41.57686392,63.62379184,67.95052403,62.2472799,5.251229433,0
87.85321267,121.1726877,37.51574543,90.32764765,42.66487073,65.32366883,69.46989352,63.81185994,5.350426921,0
85.91587756,120.5222687,36.45749471,89.26092219,41.11105182,62.80815763,67.10544861,61.28341578,5.238163873,0
84.94209266,120.1813805,36.78138618,89.59008375,40.86228733,62.57280181,66.6395631,60.85625912,5.200643811,0
84.95640976,120.1855183,36.51537645,89.31992095,40.28669261,61.83814603,66.00481116,60.15200176,5.164073037,0
74.38975978,115.9060856,31.37326071,83.76096939,32.22064753,61.47107144,66.36685339,60.04049211,4.621827405,0
